True Date,Time,Julian Date,Night Date,SQM,Cloud Cover,Astro Dawn,Astro Dusk,Sun Up,Moon Rise,Moon Set,Moon Up,Moon Peak,Moon Peak Altitude,Row Classification,Row Classification Confidence,Night Classification,Night Classification Confidence,No SQM Flag,Old SQM Flag,No Weather Flag,Old Weather Flag,Mult Weather Data Flag
2020-05-21,00:00:00,2458990.5,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:05:00,2458990.503472222,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:10:00,2458990.5069444445,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:15:00,2458990.5104166665,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:20:00,2458990.513888889,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:25:00,2458990.517361111,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:30:00,2458990.520833333,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:35:00,2458990.5243055555,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:40:00,2458990.527777778,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:45:00,2458990.53125,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:50:00,2458990.534722222,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,00:55:00,2458990.5381944445,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:00:00,2458990.5416666665,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:05:00,2458990.545138889,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:10:00,2458990.548611111,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:15:00,2458990.552083333,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:20:00,2458990.5555555555,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:25:00,2458990.559027778,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:30:00,2458990.5625,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:35:00,2458990.565972222,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:40:00,2458990.5694444445,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:45:00,2458990.5729166665,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:50:00,2458990.576388889,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,01:55:00,2458990.579861111,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:00:00,2458990.583333333,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:05:00,2458990.5868055555,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:10:00,2458990.590277778,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:15:00,2458990.59375,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:20:00,2458990.597222222,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:25:00,2458990.6006944445,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:30:00,2458990.6041666665,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:35:00,2458990.607638889,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:40:00,2458990.611111111,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:45:00,2458990.614583333,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:50:00,2458990.6180555555,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,02:55:00,2458990.621527778,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:00:00,2458990.625,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:05:00,2458990.628472222,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:10:00,2458990.6319444445,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:15:00,2458990.6354166665,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:20:00,2458990.638888889,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:25:00,2458990.642361111,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:30:00,2458990.645833333,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:35:00,2458990.6493055555,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:40:00,2458990.652777778,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:45:00,2458990.65625,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:50:00,2458990.659722222,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
2020-05-21,03:55:00,2458990.6631944445,2020-05-20,,,,,False,,,False,,,,,,,True,,,,
